users,movies,rating
414,410,5
414,359,5
414,337,5
414,733,4
414,3441,5
414,299,5
414,547,4
414,126,5
599,410,3.5
599,359,4
599,337,5
599,733,3
599,3441,5
599,299,5
599,547,4
599,126,3.5
474,410,3
474,359,5
474,337,4
474,733,4.5
474,3441,4.5
474,299,4
474,547,4.5
474,126,3
448,410,3
448,359,0
448,337,5
448,733,5
448,3441,2
448,299,5
448,547,3
448,126,0
274,410,4.5
274,359,4.5
274,337,5
274,733,4
274,3441,4
274,299,3
274,547,3.5
274,126,4.5
610,410,3
610,359,3
610,337,5
610,733,4.5
610,3441,5
610,299,5
610,547,5
610,126,4.5
68,410,3.5
68,359,3
68,337,2
68,733,3.5
68,3441,4.5
68,299,5
68,547,3.5
68,126,2.5
380,410,5
380,359,3
380,337,5
380,733,5
380,3441,4.5
380,299,5
380,547,5
380,126,4
